technique_id,name,current_aliases,aliases_to_add,aliases_new_cell
americana-mount,Americana from Mount,Keylock from mount; Ude-garami family,Ude Garami from Mount,Keylock from mount; Ude-garami family; Ude Garami from Mount
americana-side-control,Americana from Side Control,Keylock; Figure-four shoulder lock; Ude-garami family,Ude Garami from Side; Keylock from Side,Keylock; Figure-four shoulder lock; Ude-garami family; Ude Garami from Side; Keylock from Side
anaconda-choke-front-headlock,Anaconda Choke,Arm-triangle roll choke,Gator Roll Choke; Turtle Anaconda,Arm-triangle roll choke; Gator Roll Choke; Turtle Anaconda
ankle-pick,Ankle Pick,Low ankle pick; Kibisu-gaeshi (Japanese heel reversal),Foot Pick; Ankle Grab,Low ankle pick; Kibisu-gaeshi (Japanese heel reversal); Foot Pick; Ankle Grab
arm-triangle-mount,Arm-Triangle from Mount,Kata gatame from mount; Kata-gatame; Sankaku-jime family,Head and Arm Choke from Mount,Kata gatame from mount; Kata-gatame; Sankaku-jime family; Head and Arm Choke from Mount
arm-triangle-side-control,Arm-Triangle from Side Control,Kata gatame; Head-and-arm choke; Sankaku-jime family,Kata Gatame from Side,Kata gatame; Head-and-arm choke; Sankaku-jime family; Kata Gatame from Side
armbar-back-control,Armbar from Back Control,Back-control juji gatame; Juji-gatame family,Back Armbar,Back-control juji gatame; Juji-gatame family; Back Armbar
armbar-closed-guard,Armbar from Closed Guard,Juji gatame; Straight armbar; Juji-gatame family,Juji-Gatame from Guard,Juji gatame; Straight armbar; Juji-gatame family; Juji-Gatame from Guard
armbar-mount,Armbar from Mount,Mounted juji gatame; Juji-gatame family,Juji-Gatame from Mount; High Mount Armbar,Mounted juji gatame; Juji-gatame family; Juji-Gatame from Mount; High Mount Armbar
armbar-triangle-omoplata-chain,Armbar–Triangle–Omoplata Chain,Closed-guard submission chain; Juji-gatame family,Triangle Armbar Combo; Triangle Omoplata,Closed-guard submission chain; Juji-gatame family; Triangle Armbar Combo; Triangle Omoplata
back-control-rear-body-lock-ride,Rear Body-Lock Ride,Back ride; Mat return ride,Rear Body Lock; Body Lock Back,Back ride; Mat return ride; Rear Body Lock; Body Lock Back
back-control-wristlock,Wrist Lock from Back Control,Rear gooseneck wrist lock,Back Wrist Control; Wrist Control from Back No-Gi,Rear gooseneck wrist lock; Back Wrist Control; Wrist Control from Back No-Gi
back-escape-turn-into-guard,Back Escape by Turning into Guard,Turn-in escape,Sit Out from Back; Back Escape Sit Out,Turn-in escape; Sit Out from Back; Back Escape Sit Out
baseball-bat-choke-side-control,Baseball-Bat Choke from Side Control,Baseball choke,Side Baseball Choke,Baseball choke; Side Baseball Choke
belly-down-ankle-lock,Belly-Down Straight Ankle Lock,Prone ankle lock; Straight ashi-garami foot lock,Turk Ankle Lock; Turk,Prone ankle lock; Straight ashi-garami foot lock; Turk Ankle Lock; Turk
body-lock-pass,Body-Lock Pass,Double-under body lock pass,Body Fold Pass; Bear Hug Pass,Double-under body lock pass; Body Fold Pass; Bear Hug Pass
body-triangle-back-control,Body-Triangle Back Control,Figure-four body lock; Sankaku-jime family,Body Lock from Back; Body Triangle Control,Figure-four body lock; Sankaku-jime family; Body Lock from Back; Body Triangle Control
bow-arrow-choke-back,Bow-and-Arrow Choke,Berimbau choke; Okuri-eri-jime variation,Yumi Uchi Otoshi; Bow and Arrow,Berimbau choke; Okuri-eri-jime variation; Yumi Uchi Otoshi; Bow and Arrow
breakfall-backward,Backward Breakfall,Back breakfall; Ushiro ukemi,Ushiro Ukemi Flat; Back Fall,Back breakfall; Ushiro ukemi; Ushiro Ukemi Flat; Back Fall
